conceito_candidato,ocorrencias,esta_no_vocabulario
Atleta,119,True
Desqualificação,41,True
Goleiro,23,True
Equipe,20,True
Cronometrista,19,True
Suspensão,19,True
Árbitros,19,False
Conduta Extremamente Antidesportiva,18,False
Árbitro,16,True
Agressão,15,False
Tiro Livre para a Equipe Adversária,13,False
por escrito,13,False
Conduta Antidesportiva,12,False
Quadra de Jogo,11,True
Tiro de Goleiro,11,True
Rede da Baliza,10,False
Oficial de Equipe,9,True
Superfície de Jogo,8,False
Linha da Quadra,8,False
Baliza,8,True
o,8,False
Bola,8,True
a Bola,8,False
Tiro de 6 Metros,8,True
Oficiais de Equipe,8,False
Tiro Livre,7,True
com Desqualificação,7,False
fase de construção excessivamente longa,7,False
Mesa,6,False
Tiro de Árbitro,6,True
Partida,6,True
Adversário,6,False
Secretário,6,True
exatamente 2 pontos,6,False
no local onde a Bola estava no momento da interrupção,6,False
Métodos passivos,6,False
Areia,6,False
REGULAMENTAR,5,False
Área de Substituição,5,True
Jogador de Linha,5,True
Cartão Verde,5,False
Substituto,5,False
Lateral,5,True
a Bola com as mãos,5,False
Relatório Escrito após a Partida,5,False
Conduta Gravemente Antidesportiva,5,False
Atletas,5,False
Rede de Proteção,4,False
Período,4,True
Gol de Ouro,4,True
Tempo de Jogo,4,False
Tempo Técnico,4,False
Desperdício de Tempo,4,False
Bola Masculina,4,False
Bola Feminina,4,False
Participante autorizado,4,False
um Atleta,4,False
SEM_PENALIDADE,4,False
a Bola com os braços,4,False
Passo ocorre quando Atleta após salto,4,False
"Após Drible, um Atleta",4,False
contra Adversário,4,False
Violação da Regra 8:2,4,False
como critério decisório adicional,4,False
Gol,4,True
exatamente 1 ponto,4,False
Gol espetacular,4,False
na Área de Substituição,4,False
Gestão da Competição,4,False
Número do Atleta,4,False
Areia usada,4,False
Iluminação,4,False
areia,3,False
exatamente 3 metros,3,False
REGULAMENTAR com a areia,3,False
exatamente 15 metros,3,False
Equipes,3,False
o Reinício de Jogo correspondente,3,False
Competição,3,False
na Súmula,3,False
Oficial Responsável,3,False
"o REGIME_2026_07_01 está vigente, então um Número Visível",3,False
Goleiro dentro da Área de Gol,3,False
no máximo 3 passos,3,False
progressivamente,3,False
Delegado,3,False
como Conduta Antidesportiva,3,False
Goleiro com a Bola,3,False
Regra 15:3b,3,False
Executante do Lateral,3,False
a Partida,3,False
razão para conceder Tiro de 6 Metros,3,False
Atleta suspenso,3,False
Desqualificação por duas Suspensões,3,False
ou autorizadas a entrar novamente na Quadra,3,False
Árbitros no monitoramento da ocupação da Área de Substituição,3,False
Delegados,3,False
como se tivesse ocorrido na Quadra ou na Área de Substituição,3,False
Uniforme de frio,3,False
Areia de base granítica,3,False
Turnover,3,False
exatamente 12 metros,2,False
BAIXA,2,False
Linha da Área de Gol,2,False
perigo para Participante,2,False
alumínio tubular,2,False
REGULAMENTAR com o fundo visual,2,False
Suporte da Rede,2,False
Malha da Rede,2,False
no máximo 80 milímetros,2,False
Goleiro Substituto,2,False
Área de Gol,2,True
exatamente 10 minutos,2,False
o Cronometrista,2,False
Influência Externa,2,False
imediatamente,2,False
exatamente uma Bola Reserva,2,False
Quadra de Jogo pela própria Linha de Substituição,2,False
Uniforme Masculino,2,False
Regata,2,False
Uniforme Feminino,2,False
no mínimo 80 por cento,2,False
Goleiro que,2,False
Uniforme do Goleiro,2,False
camisa do Oficial de Equipe,2,False
igual,2,False
Jogador de Linha entra_na Área de Gol quando qualquer parte do corpo,2,False
dentro da Área de Gol,2,False
Bola no ar sobre a Área de Gol,2,False
um Atleta da Equipe Defensora,2,False
Atleta parado,2,False
a Bola uma vez e receber a Bola novamente com uma mão,2,False
a Bola uma vez e receber a Bola novamente com duas mãos,2,False
Atleta correndo,2,False
a Bola novamente com uma mão,2,False
a Bola novamente com duas mãos,2,False
em até 3 segundos,2,False
Falha de Controle ocorre quando Atleta,2,False
EXCEÇÃO_PERMITIDA,2,False
braços para bloquear a Bola,2,False
mãos para bloquear a Bola,2,False
